rib knit,리브니트
mocassin,모카신
espadrilla,에스파디유
red,레드
rose,로즈
candy,캔디
crimson,크림슨
cherry,체리
scarlet,진홍
ruby,루비
berry,베리
blood,블러드
currant,커런트
sangria,상그리아
merlot,메를로
wine,와인
mahogany,마호가니
jam,잼
garnet,석류
brick,브릭
lipstick,립스틱
blush,브러쉬
salmon,샐몬
rounge,루즈
watermelon,워터맬론
flamingo,플라밍고
crepe,크레페
lemonade,레몬에이드
blush,블러쉬
ballet slipper,발레슬리퍼
pink,핑크
taffy,태피
bubblegum,버블검
fucsia,후크시아
hot pink,핫핑크
magenta,마젠타
punch,펀치
rosewood,루즈우드
strawberry,딸기
coral,코랄
peach,피치
apricot,살구
tangerine,탠저린
honey,꿀
merigold,머리골드색
cantaloupe,칸탈루프
spice,스파이스
amber,앰버
clay,클레이색
rust,러스트
bronze,브론즈
ginger,진저
cider,사이더
yam,얌
squash,스쿼시
marmalade,마멀레이드
sandstone,사암
fire,불
orange,오렌지
carrot,캐럿
tiger,타이거
dijon,디종
flaxen,아마색
medallion,메달리온
corn,콘
lemon,레몬
banana,바나나
daffodil,대퍼딜
blonde,블론드
yellow,옐로우
bumblebee,범블비
pineapple,파인애플
butter,버터
tuscan sun,투스칸썬
dandelion,댄들리온
canary,카나리
honey,꿀
butterscotch,버터스코치
mustard,머스타드
gold,금
crocodile,크로커다일
pear,페어
olive,올리브
chartreuse,샤르트뢰즈
lime,라임
pistachio,피스타치오
mint,민트
seafoam,시폼
sea foam,시폼
sea-foam,시폼
parakeet,파라키트
green,그린
shamrock,샴록
emerald,에메랄드
sage,세이지
pine,파인
seaweed,씨위드
juniper,주니퍼
basil,바실
moss,모스
pickle,피클
teal,틸
sapphire,사파이어
sky,스카이
arctic,아틱
cerulean,셀룰린
blue,블루
lapis,라피스
cobalt,코발트
azure,아쥬르
admiral,어드미럴
berry,블루베리
navy,네이비
indigo,인디고
denim,데님
peacock,피코크
spruce,스프루스
slate,슬레이트
stone,스톤
aegean,에게
ocean,오션
mullberry,멀베리
sangria,상그리아
boysenberry,보이센베리
jam,잼
magenta,마젠타
lavender,라벤더
periwinkle,페리윙클
heather,헤더
iris,아이리스
orchid,오키드
amethyst,애머시스트
lilac,라이락
purple,퍼플
mauve,연보라
violet,바이올렛
grape,포도
eggplant,가지
rasin,건포도
wine,와인색
plum,플럼
gingerbread,진저브레드
cinnamon,시나몬
caramel,카라멜
tawny,황갈색
tortilla,토르티야
peanut,피넛
coffee,커피
cedar,삼나무
wood,우드
mocha,모카
carob,캐럽
umber,엄버
chocolate,초코렛
brown,브라운
brunette,브루넷
syrup,시럽
walnut,월넛
pecan,피칸
penny,페니
fog,포그
gray,그레이
dove,도브
fossil,포실
cloud,클라우드
silver,실버
coin,코인
flint,플린트
pewter,백랍
porpoise,폴포이즈
anchor,앵커
lead,납
slate,슬레이트
charcoal,차콜
iron,아이언
pebble,페블
shadow,쉐도우
ash,애쉬
smoke,스모크
graphite,그래파이트
argyle,아가일
arabesque,아라베스크
bengal,벵갈
unbalanced,언밸런스
balanced,밸런스
liberty,리버티
anthemion,앤시미온
tattersall,태터솔
pencil,펜슬
dotted swiss,도티드스위스
awning,차양막
gingham,깅엄
graph,그래프
pinstripes,핀스트라이프
pincheck,핀체크
roman,로만
barcode,바코드
bird's eye,반점
pheasant's eye,반점
bayadere,바야데르
trefoil,트레포일
camoflauge,카모플라쥬
calico,캘리코
chevron,셰브런
boteh,보테
lane's net,레인스넷
district,디스트릭트
hound tooth,하운드투스
regimental,레지멘탈
plaid,플레이드
